Wavelength	I1	I1 dark	R1	R1dark	XCorrect	I1c	R1c	I1c/R1c	Abs	Percent T
nm	uA	uA	uA	uA		uA	uA	uA/uA	OD	T*100
	Abs Detector Raw	Dark Offset for Abs Detector	Ref Detector Raw	Dark Offset for Ref Detector	Linear interp	Dark subtracted Abs Detector	Corrected Ref Detector	Corrected Intensity 	-Log(T)	% Transmittance
314	3.38626532338321		5.95429486146172		0.912828803062439	3.38323849077469	5.43407582315783	0.62259685011326	0.0364341910326252	91.9529801285511
311	3.24245795091097		5.79327282353091		0.908776223659515	3.23943111830244	5.26361779196213	0.615438135202227	0.0384395502873648	91.5293650694223
308	3.09322394027681		5.62219782421449		0.906386494636536	3.09019710766828	5.09471644957631	0.606549380765885	0.0406174373360779	91.071515297439
305	2.93978653854616		5.44112824485989		0.9065181016922	2.93675970593763	4.93131334957374	0.595532974231193	0.0429659703299176	90.5803573453566
302	2.77977239611914		5.24688046487434		0.909419357776642	2.77674556351061	4.77044302688975	0.582072890894791	0.0454769767257952	90.0581504055662
299	2.60091495054476		5.01467183787252		0.915451467037201	2.59788811793623	4.58950928351247	0.566049212988627	0.0481147304493945	89.512826235062
296	2.40078404802413		4.7391451348719		0.92780077457428	2.3977572154156	4.39578720974422	0.545467080412912	0.0509596275650874	88.9283782695784
293	2.19595617652813		4.44744763603747		0.946003019809723	2.1929293439196	4.20608012635722	0.521371271597444	0.0539461978569753	88.3189306676688
290	1.96723219672917		4.10362478340741		0.966469645500183	1.96420536412065	3.96478365405756	0.49541299992762	0.0572326667000196	87.6531107050601
287	1.73119493693014		3.73448700900351		0.985818028450012	1.72816810432162	3.68025455768198	0.469578415632778	0.0606798668741077	86.9601205497709
284	1.51634583622614		3.39136444445659		1.00249874591827	1.51331900361761	3.39854704937937	0.445284111601152	0.0642140576126755	86.2553302643664
281	1.31747251182548		3.0676921337382		1.01538515090942	1.31444567921696	3.11358088502657	0.422165258509333	0.0679944726098355	85.5077595632709
278	1.14813169829315		2.7873260850538		1.02208685874939	1.14510486568463	2.84757257341248	0.402133689717467	0.0718922755713787	84.7437590444918
275	1.0115163137072		2.56350859327235		1.01833760738373	1.00848948109868	2.60920524849792	0.386512131109368	0.0758365227695052	83.9776035723867
272	0.913290199597743		2.41178020276535		1.00533831119537	0.910263366989217	2.4233598245741	0.375620391886786	0.0798808546980186	83.1991990306038
269	0.840146231384152		2.30612015191801		0.986847341060638	0.837119398775626	2.27451715118226	0.368042684725638	0.0838034415933581	82.4511198128347
266	0.778653543641584		2.21921174772426		0.958652377128601	0.775626711033057	2.12621755293163	0.364791791867028	0.0873231094561954	81.7856087419141
263	0.718476396054891		2.12538431035504		0.922678232192993	0.715449563446365	1.95985712054436	0.365051898909674	0.0905298031127676	81.1839535182826
260	0.654900235725433		2.01025076711392		0.885108888149261	0.651873403116907	1.77815050557697	0.366601927717805	0.0933883919107772	80.6513438292741
257	0.586849463597448		1.86887772812804		0.847771346569061	0.583822630988922	1.58328877556495	0.368740459731107	0.0958289106059101	80.1993944984287
254	0.516083631971035		1.70976945850013		0.809171795845032	0.513056799362509	1.38245473974299	0.371120142029308	0.0984212129851789	79.722110438708
251	0.447380066876908		1.54467673394008		0.769091427326202	0.444353234268382	1.18700678748934	0.374347677664289	0.100850840516406	79.2773563714029
248	0.385540168900131		1.38840437067291		0.732784807682037	0.382513336291605	1.01645755822388	0.376320027527755	0.103415841081546	78.8105138088861
245	0.325571052928819		1.22742305295679		0.704018294811249	0.322544220320293	0.863221274104408	0.373651843387354	0.106501120733263	78.2526185689684
242	0.271154317764177		1.07046552184568		0.682201743125916	0.268127485155651	0.729394541312643	0.367602812975704	0.11005990381764	77.6140053424265
239	0.222704083277599		0.918154589837095		0.665178537368774	0.219677250669073	0.609879755073017	0.360197643620376	0.113956172958185	76.9208061380809
